term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,revol_bal,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
 60 months,OWN,D,debt_consolidation,17.97%,CA,Current,Individual,26700,10+ years,130000,30.76,1,43.90%,14977,24,1,null, 60 ,10,43,43.76206961077844,30.76,No
 36 months,MORTGAGE,B,home_improvement,11.80%,MI,Current,Individual,8000,2 years,58000,6.31,0,58.40%,467,8,0,null, 36 ,2,58,43.76206961077844,6.31,No
 36 months,MORTGAGE,D,other,18.94%,PA,Current,Individual,11000,10+ years,60000,25.9,0,null,0,20,0,null, 36 ,10,43.76206961077844,43.76206961077844,25.9,No
 60 months,RENT,B,other,12.98%,CA,Current,Joint App,30000,4 years,34560,2.33,0,1.40%,1025,32,0,9.6, 60 ,4,1,43.76206961077844,2.33,No
 60 months,MORTGAGE,C,home_improvement,14.47%,MA,Current,Individual,15000,10+ years,110000,18.56,2,90.40%,27109,18,1,null, 60 ,10,90,43.76206961077844,18.56,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,FL,Current,Individual,15000,n/a,50000,32.77,0,25.30%,13523,22,0,null, 36 ,,25,43.76206961077844,32.77,No
 36 months,MORTGAGE,A,credit_card,8.19%,CA,Current,Individual,10000,10+ years,59920,21.35,2,67.20%,66232,19,0,null, 36 ,10,67,43.76206961077844,21.35,No
 60 months,MORTGAGE,D,debt_consolidation,19.92%,AL,Current,Individual,12000,7 years,48000,36.2,0,52.50%,12073,16,0,null, 60 ,7,52,43.76206961077844,36.2,No
 60 months,MORTGAGE,B,credit_card,10.72%,OH,Current,Individual,32000,3 years,60000,23.24,0,22.50%,61671,37,0,null, 60 ,3,22,43.76206961077844,23.24,No
 36 months,MORTGAGE,E,credit_card,23.40%,SC,Current,Individual,4000,2 years,40000,21.42,0,88.70%,4259,7,0,null, 36 ,2,88,43.76206961077844,21.42,No
 60 months,MORTGAGE,C,debt_consolidation,14.47%,KY,Current,Joint App,20000,8 years,30000,60.52,0,90.60%,9512,14,0,14.27, 60 ,8,90,43.76206961077844,60.52,No
 36 months,RENT,B,other,11.55%,CA,Current,Individual,6825,3 years,21000,20,0,36.30%,7665,11,0,null, 36 ,3,36,43.76206961077844,20,No
 36 months,RENT,A,credit_card,6.46%,CO,Current,Individual,10000,< 1 year,56000,15.2,0,52.40%,9695,15,0,null, 36 ,1,52,43.76206961077844,15.2,No
 36 months,RENT,D,other,17.97%,WA,Fully Paid,Joint App,2000,1 year,33280,40.5,0,79.50%,19879,16,0,29.12, 36 ,1,79,43.76206961077844,40.5,No
 36 months,MORTGAGE,C,moving,16.14%,MA,Current,Individual,6025,2 years,145000,11.11,1,96%,17282,24,1,null, 36 ,2,96,43.76206961077844,11.11,No
 36 months,MORTGAGE,B,home_improvement,11.31%,AZ,Current,Joint App,20000,1 year,180000,6.81,0,33.60%,11511,17,0,6.87, 36 ,1,33,43.76206961077844,6.81,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,MN,Current,Individual,25000,5 years,107000,5.36,1,62.20%,30375,11,0,null, 36 ,5,62,43.76206961077844,5.36,No
 36 months,OWN,B,credit_card,11.80%,TX,Current,Individual,11000,10+ years,70000,23.42,0,77.40%,10068,17,0,null, 36 ,10,77,43.76206961077844,23.42,No
 60 months,MORTGAGE,E,debt_consolidation,23.40%,IL,Current,Individual,28000,n/a,60000,26.4,0,58%,24597,26,0,null, 60 ,,58,43.76206961077844,26.4,No
 36 months,RENT,A,credit_card,6.46%,VA,Current,Individual,40000,9 years,115000,26.85,0,88.50%,41241,24,0,null, 36 ,9,88,43.76206961077844,26.85,No
 60 months,MORTGAGE,C,credit_card,15.02%,CA,Current,Individual,13200,10+ years,90000,26.57,0,59%,39682,22,0,null, 60 ,10,59,43.76206961077844,26.57,No
 36 months,MORTGAGE,D,medical,20.89%,IN,Current,Joint App,10000,4 years,78000,31.51,0,55.80%,91683,37,0,16.62, 36 ,4,55,43.76206961077844,31.51,No
 60 months,RENT,C,debt_consolidation,13.56%,NJ,Current,Individual,25000,n/a,52000,17.96,0,15.60%,10409,46,0,null, 60 ,,15,43.76206961077844,17.96,No
 60 months,RENT,F,car,28.72%,NV,Current,Individual,20000,10+ years,165000,5.03,3,20.60%,1052,10,0,null, 60 ,10,20,43.76206961077844,5.03,No
 36 months,RENT,A,credit_card,7.56%,UT,Current,Joint App,24000,< 1 year,25000,11.71,0,5.60%,2210,26,0,4.35, 36 ,1,5,43.76206961077844,11.71,No
 36 months,RENT,D,credit_card,18.94%,CA,Current,Individual,30000,6 years,64000,34.6,0,82%,40756,21,0,null, 36 ,6,82,43.76206961077844,34.6,No
 60 months,OWN,E,home_improvement,23.40%,PA,Current,Individual,10000,1 year,45000,12.83,0,3.30%,5663,62,0,null, 60 ,1,3,43.76206961077844,12.83,No
 36 months,RENT,B,credit_card,10.72%,CA,Current,Individual,6500,4 years,50000,33.01,0,47.90%,16201,35,0,null, 36 ,4,47,43.76206961077844,33.01,No
 60 months,MORTGAGE,B,debt_consolidation,10.33%,FL,Current,Joint App,19000,10+ years,43232,13.85,0,36.10%,18496,22,0,13.31, 60 ,10,36,43.76206961077844,13.85,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,TX,Current,Individual,40000,< 1 year,150000,19.14,4,63.80%,10215,29,1,null, 60 ,1,63,43.76206961077844,19.14,No
 60 months,RENT,C,debt_consolidation,13.56%,CA,Current,Individual,20000,n/a,44000,37.37,0,22.60%,9725,30,0,null, 60 ,,22,43.76206961077844,37.37,No
 36 months,RENT,A,debt_consolidation,8.19%,CA,Current,Joint App,29600,10+ years,86500,52.43,0,34.40%,20859,29,0,25.5, 36 ,10,34,43.76206961077844,52.43,No
 36 months,RENT,D,debt_consolidation,19.92%,MN,Late (31-120 days),Individual,2000,< 1 year,240000,2.58,0,49.40%,9087,12,0,null, 36 ,1,49,43.76206961077844,2.58,yes
 60 months,RENT,D,moving,18.94%,CT,Current,Individual,14400,1 year,62000,15.33,0,59%,7078,36,0,null, 60 ,1,59,43.76206961077844,15.33,No
 36 months,MORTGAGE,C,home_improvement,15.02%,NC,Current,Individual,7200,10+ years,201000,18.48,0,70.40%,50892,21,0,null, 36 ,10,70,43.76206961077844,18.48,No
 36 months,OWN,A,debt_consolidation,8.19%,AL,Current,Individual,15000,10+ years,100000,18.83,0,16%,4861,22,0,null, 36 ,10,16,43.76206961077844,18.83,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,IN,Current,Joint App,33500,9 years,175000,22.99,0,85.60%,24492,33,0,23.94, 36 ,9,85,43.76206961077844,22.99,No
 36 months,MORTGAGE,A,credit_card,7.02%,NJ,Current,Joint App,5000,10+ years,80000,2.64,0,1.80%,1618,24,0,6.37, 36 ,10,1,43.76206961077844,2.64,No
 36 months,RENT,B,debt_consolidation,10.72%,GA,Current,Individual,15000,10+ years,115000,24.88,0,80.20%,9784,20,0,null, 36 ,10,80,43.76206961077844,24.88,No
 36 months,RENT,A,credit_card,8.19%,NJ,Current,Individual,5000,2 years,40000,13.2,0,31.60%,4744,13,0,null, 36 ,2,31,43.76206961077844,13.2,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,CO,Current,Individual,5000,4 years,70000,34.94,0,6.60%,5905,44,0,null, 36 ,4,6,43.76206961077844,34.94,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,LA,Current,Individual,10000,10+ years,90000,4.03,0,13.10%,445,14,0,null, 36 ,10,13,43.76206961077844,4.03,No
 60 months,RENT,C,debt_consolidation,16.14%,MO,Current,Individual,35000,10+ years,66000,19.07,0,67.10%,23561,21,0,null, 60 ,10,67,43.76206961077844,19.07,No
 60 months,MORTGAGE,D,debt_consolidation,20.89%,WI,Current,Joint App,15000,4 years,55000,46.76,1,47.20%,6838,28,0,14.53, 60 ,4,47,43.76206961077844,46.76,No
 36 months,RENT,A,debt_consolidation,8.46%,PA,Current,Individual,6000,9 years,120000,18.87,0,42%,22462,22,0,null, 36 ,9,42,43.76206961077844,18.87,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,TX,Fully Paid,Joint App,25475,5 years,51902,23.63,0,36.40%,34798,29,0,24.47, 36 ,5,36,43.76206961077844,23.63,No
 36 months,MORTGAGE,A,debt_consolidation,7.02%,WA,Current,Individual,10000,2 years,90000,7.87,0,54.10%,20354,13,0,null, 36 ,2,54,43.76206961077844,7.87,No
 36 months,MORTGAGE,A,credit_card,7.56%,CA,Current,Individual,7000,2 years,65000,9.53,0,32.20%,11286,29,0,null, 36 ,2,32,43.76206961077844,9.53,No
 60 months,MORTGAGE,A,debt_consolidation,8.19%,AL,Current,Individual,40000,3 years,100000,10.16,0,29.50%,16227,26,0,null, 60 ,3,29,43.76206961077844,10.16,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,MD,Current,Individual,6000,9 years,50000,15.72,0,55.40%,7705,20,0,null, 36 ,9,55,43.76206961077844,15.72,No
 36 months,OWN,A,debt_consolidation,6.46%,NY,Current,Individual,3750,n/a,20000,11.64,0,18.70%,5969,21,0,null, 36 ,,18,43.76206961077844,11.64,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,TX,Current,Individual,20000,6 years,120000,12.06,0,52%,11590,12,0,null, 60 ,6,52,43.76206961077844,12.06,No
 36 months,MORTGAGE,D,debt_consolidation,20.89%,AL,Current,Individual,15000,10+ years,35000,22.81,0,51.50%,1184,27,0,null, 36 ,10,51,43.76206961077844,22.81,No
 60 months,RENT,D,debt_consolidation,22.35%,UT,Late (31-120 days),Individual,32000,n/a,85000,3.5,0,45.80%,8748,8,0,null, 60 ,,45,43.76206961077844,3.5,yes
 60 months,MORTGAGE,B,credit_card,11.80%,AR,Current,Joint App,25000,10+ years,67000,12.86,1,34.20%,6326,9,0,13.92, 60 ,10,34,43.76206961077844,12.86,No
 60 months,RENT,B,debt_consolidation,12.98%,TX,Current,Individual,23000,9 years,50000,14.65,0,84%,19742,10,0,null, 60 ,9,84,43.76206961077844,14.65,No
 60 months,MORTGAGE,B,credit_card,11.80%,IL,Current,Individual,18000,6 years,60000,25.72,0,37.60%,23324,21,0,null, 60 ,6,37,43.76206961077844,25.72,No
 36 months,RENT,D,debt_consolidation,18.94%,CA,Current,Individual,3000,3 years,38000,30.54,1,35.90%,17679,31,0,null, 36 ,3,35,43.76206961077844,30.54,No
 60 months,RENT,C,debt_consolidation,16.91%,ME,Current,Individual,11000,7 years,50000,22.92,0,47.20%,7554,15,0,null, 60 ,7,47,43.76206961077844,22.92,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,WI,Current,Joint App,10675,1 year,36000,8.6,0,65%,8904,7,0,6.86, 36 ,1,65,43.76206961077844,8.6,No
 36 months,MORTGAGE,D,home_improvement,19.92%,PA,Current,Individual,5000,6 years,62000,29,0,46.10%,14923,27,0,null, 36 ,6,46,43.76206961077844,29,No
 60 months,MORTGAGE,C,debt_consolidation,13.56%,GA,In Grace Period,Individual,14400,4 years,165000,8.19,0,12.90%,9219,41,0,null, 60 ,4,12,43.76206961077844,8.19,yes
 60 months,MORTGAGE,C,credit_card,13.56%,OH,Current,Individual,30000,10+ years,80000,20.06,0,71%,18542,24,0,null, 60 ,10,71,43.76206961077844,20.06,No
 36 months,RENT,A,debt_consolidation,6.46%,AZ,Current,Individual,20000,4 years,57000,10.44,0,22.30%,11378,8,0,null, 36 ,4,22,43.76206961077844,10.44,No
 60 months,MORTGAGE,B,home_improvement,10.72%,CA,Current,Individual,15000,10+ years,160000,16.86,0,17%,20717,28,0,null, 60 ,10,17,43.76206961077844,16.86,No
 36 months,MORTGAGE,C,credit_card,15.02%,CA,Current,Individual,10000,10+ years,94000,18.7,0,61.80%,8593,18,0,null, 36 ,10,61,43.76206961077844,18.7,No
 36 months,RENT,C,debt_consolidation,13.56%,OR,Current,Joint App,6500,3 years,24500,7.89,1,26.80%,2628,8,1,10.93, 36 ,3,26,43.76206961077844,7.89,No
 36 months,RENT,A,credit_card,6.46%,OR,Current,Individual,16000,1 year,75000,23.04,0,88.70%,36188,6,0,null, 36 ,1,88,43.76206961077844,23.04,No
 36 months,MORTGAGE,C,debt_consolidation,15.02%,TX,In Grace Period,Individual,11500,3 years,60000,15.42,0,43.80%,9593,26,0,null, 36 ,3,43,43.76206961077844,15.42,yes
 36 months,MORTGAGE,C,home_improvement,14.47%,NJ,Current,Individual,8000,10+ years,110000,22.1,0,82.10%,25443,42,0,null, 36 ,10,82,43.76206961077844,22.1,No
 36 months,MORTGAGE,C,credit_card,13.56%,PA,Current,Individual,12000,n/a,70000,10.59,0,13.10%,10316,38,0,null, 36 ,,13,43.76206961077844,10.59,No
 60 months,MORTGAGE,D,debt_consolidation,19.92%,CA,Current,Individual,35000,1 year,135000,11.74,0,39%,18761,20,0,null, 60 ,1,39,43.76206961077844,11.74,No
 36 months,RENT,A,debt_consolidation,7.56%,FL,Current,Individual,5000,n/a,40000,1.5,0,18.90%,1551,14,0,null, 36 ,,18,43.76206961077844,1.5,No
 60 months,OWN,C,home_improvement,16.91%,PA,Current,Joint App,24000,5 years,100000,2.88,0,66.10%,3106,7,0,3.29, 60 ,5,66,43.76206961077844,2.88,No
 60 months,RENT,B,moving,12.98%,CO,Current,Joint App,35000,6 years,75000,10.7,0,6.90%,274,5,0,17.67, 60 ,6,6,43.76206961077844,10.7,No
 36 months,MORTGAGE,C,major_purchase,15.02%,GA,Current,Individual,3025,10+ years,112000,27.44,1,52.20%,20680,31,0,null, 36 ,10,52,43.76206961077844,27.44,No
 60 months,OWN,C,debt_consolidation,16.91%,FL,Current,Individual,18500,n/a,39000,30.89,0,9.10%,1837,29,0,null, 60 ,,9,43.76206961077844,30.89,No
 36 months,RENT,B,credit_card,11.31%,CA,Current,Individual,3850,10+ years,23424,5.69,0,38.90%,2646,5,0,null, 36 ,10,38,43.76206961077844,5.69,No
 60 months,MORTGAGE,C,debt_consolidation,13.56%,CO,Current,Joint App,10000,10+ years,50000,3.22,0,24.80%,2751,9,0,8.44, 60 ,10,24,43.76206961077844,3.22,No
 60 months,MORTGAGE,C,debt_consolidation,16.91%,SC,Current,Individual,23000,10+ years,109000,10.56,0,49.60%,31232,24,0,null, 60 ,10,49,43.76206961077844,10.56,No
 36 months,RENT,A,debt_consolidation,6.46%,CA,Current,Individual,40000,1 year,101000,14.06,0,50.50%,35059,21,0,null, 36 ,1,50,43.76206961077844,14.06,No
 36 months,MORTGAGE,C,credit_card,16.91%,GA,Current,Individual,15000,10+ years,81000,39.99,0,90.60%,42317,24,0,null, 36 ,10,90,43.76206961077844,39.99,No
 60 months,MORTGAGE,D,house,17.97%,WI,Current,Individual,10000,n/a,32220,26.29,0,76.10%,14160,40,0,null, 60 ,,76,43.76206961077844,26.29,No
 36 months,OWN,B,credit_card,12.98%,CA,Current,Individual,13500,2 years,50000,9.17,0,80.80%,13249,8,0,null, 36 ,2,80,43.76206961077844,9.17,No
 36 months,RENT,B,credit_card,12.98%,NM,Current,Individual,12600,< 1 year,100000,31.57,0,52.70%,68560,30,0,null, 36 ,1,52,43.76206961077844,31.57,No
 36 months,RENT,A,credit_card,7.56%,FL,Current,Individual,9000,3 years,84000,15.07,0,28.30%,16039,23,0,null, 36 ,3,28,43.76206961077844,15.07,No
 60 months,MORTGAGE,D,debt_consolidation,18.94%,UT,Current,Individual,15000,10+ years,79144,19.01,0,65.30%,22390,19,0,null, 60 ,10,65,43.76206961077844,19.01,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,NC,Current,Individual,32000,10+ years,80500,5.1,0,54.30%,14776,4,0,null, 60 ,10,54,43.76206961077844,5.1,No
 36 months,MORTGAGE,A,credit_card,7.02%,AR,Current,Individual,3200,3 years,25000,7.73,0,44.40%,2711,27,0,null, 36 ,3,44,43.76206961077844,7.73,No
 36 months,MORTGAGE,A,credit_card,7.02%,TX,Current,Individual,6000,< 1 year,65000,22.36,0,43%,5977,31,0,null, 36 ,1,43,43.76206961077844,22.36,No
 36 months,MORTGAGE,A,credit_card,7.56%,NY,Current,Individual,8000,2 years,60000,19.02,0,64%,10565,13,0,null, 36 ,2,64,43.76206961077844,19.02,No
 36 months,MORTGAGE,A,debt_consolidation,7.02%,TX,Current,Individual,40000,7 years,106000,28.36,0,1.50%,500,47,0,null, 36 ,7,1,43.76206961077844,28.36,No
 36 months,RENT,B,debt_consolidation,10.33%,UT,Current,Individual,9000,2 years,55000,0.96,0,17.20%,2949,8,0,null, 36 ,2,17,43.76206961077844,0.96,No
 36 months,RENT,C,credit_card,13.56%,NV,Current,Individual,7000,< 1 year,40000,21.15,0,23.80%,7012,19,0,null, 36 ,1,23,43.76206961077844,21.15,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,GA,Current,Individual,9500,1 year,75000,19.68,0,21.40%,5002,49,0,null, 36 ,1,21,43.76206961077844,19.68,No
 60 months,RENT,B,debt_consolidation,10.72%,WA,Fully Paid,Individual,10000,7 years,77491.2,32.8,0,25.10%,8235,33,0,null, 60 ,7,25,43.76206961077844,32.8,No
 36 months,RENT,C,debt_consolidation,15.02%,NC,Current,Individual,8000,10+ years,55000,9.49,0,20.80%,3285,33,0,null, 36 ,10,20,43.76206961077844,9.49,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,CA,Current,Joint App,33175,n/a,0,null,0,52.80%,91745,38,0,30.33, 60 ,,52,43.76206961077844,30.33,No
 60 months,MORTGAGE,B,debt_consolidation,11.80%,NJ,Current,Individual,17000,n/a,70000,14.54,0,6.60%,4854,26,0,null, 60 ,,6,43.76206961077844,14.54,No
 36 months,RENT,D,debt_consolidation,18.94%,SC,Current,Joint App,20000,7 years,18000,28.93,0,46.70%,11446,7,0,29.65, 36 ,7,46,43.76206961077844,28.93,No
 60 months,MORTGAGE,D,house,20.89%,MO,Current,Individual,16000,< 1 year,35000,15.57,2,7.20%,2008,22,0,null, 60 ,1,7,43.76206961077844,15.57,No
 36 months,MORTGAGE,B,other,11.80%,CO,Current,Individual,3200,5 years,140000,8.13,1,40.80%,6565,21,0,null, 36 ,5,40,43.76206961077844,8.13,No
 36 months,OWN,A,debt_consolidation,6.46%,CA,Current,Individual,10000,7 years,78996,8.31,0,38.60%,4826,22,0,null, 36 ,7,38,43.76206961077844,8.31,No
 36 months,RENT,A,other,7.56%,HI,Current,Individual,5000,10+ years,67000,3.87,0,28.50%,6617,14,0,null, 36 ,10,28,43.76206961077844,3.87,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,IL,Current,Individual,40000,< 1 year,200000,0.47,0,0.30%,5997,16,0,null, 36 ,1,0,43.76206961077844,0.47,No
 60 months,OWN,D,debt_consolidation,22.35%,FL,In Grace Period,Individual,20000,10+ years,80000,17.72,0,35%,3567,19,0,null, 60 ,10,35,43.76206961077844,17.72,yes
 36 months,RENT,B,debt_consolidation,10.33%,NJ,Current,Individual,5000,10+ years,45000,16.77,0,79.80%,11086,21,0,null, 36 ,10,79,43.76206961077844,16.77,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,CA,Current,Individual,8000,8 years,40000,12.45,0,13.30%,5757,24,0,null, 36 ,8,13,43.76206961077844,12.45,No
 60 months,RENT,D,credit_card,17.97%,IL,Current,Individual,10000,1 year,90000,13.8,0,49.20%,12897,7,0,null, 60 ,1,49,43.76206961077844,13.8,No
 36 months,RENT,A,home_improvement,7.56%,RI,Current,Joint App,6000,1 year,56810,0.19,0,0%,9,47,0,20.27, 36 ,1,0,43.76206961077844,0.19,No
 60 months,MORTGAGE,B,debt_consolidation,10.72%,TN,Current,Individual,15000,10+ years,68000,24.62,0,52%,7442,15,0,null, 60 ,10,52,43.76206961077844,24.62,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,MN,Current,Individual,30000,10+ years,165000,21.72,0,67.40%,23847,30,0,null, 36 ,10,67,43.76206961077844,21.72,No
 36 months,RENT,B,debt_consolidation,11.55%,IL,Current,Individual,4000,2 years,65000,16.3,0,15%,2201,17,0,null, 36 ,2,15,43.76206961077844,16.3,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,AL,Current,Joint App,40000,3 years,67323,84.65,0,62.60%,74793,49,0,26.66, 36 ,3,62,43.76206961077844,84.65,No
 36 months,RENT,E,debt_consolidation,23.40%,NY,Fully Paid,Individual,1000,n/a,34000,30.07,0,52.90%,13747,19,0,null, 36 ,,52,43.76206961077844,30.07,No
 60 months,OWN,C,credit_card,16.14%,TX,Current,Individual,20000,< 1 year,40000,18.66,1,12.20%,9602,45,1,null, 60 ,1,12,43.76206961077844,18.66,No
 60 months,RENT,C,debt_consolidation,16.14%,CT,Current,Individual,10000,2 years,42000,15.54,0,44.30%,1552,11,0,null, 60 ,2,44,43.76206961077844,15.54,No
 60 months,MORTGAGE,D,credit_card,17.97%,CO,Current,Individual,40000,< 1 year,150000,33.09,0,86.60%,261839,29,0,null, 60 ,1,86,43.76206961077844,33.09,No
 60 months,MORTGAGE,B,debt_consolidation,11.80%,FL,Current,Joint App,36000,10+ years,83000,24.19,1,41%,5534,22,0,28.42, 60 ,10,41,43.76206961077844,24.19,No
 36 months,OWN,A,major_purchase,6.46%,MT,Current,Individual,6500,n/a,85000,18.68,0,26.30%,20712,17,0,null, 36 ,,26,43.76206961077844,18.68,No
 60 months,MORTGAGE,C,debt_consolidation,16.91%,IL,Current,Individual,30000,< 1 year,192000,16.15,0,95.20%,80043,11,0,null, 60 ,1,95,43.76206961077844,16.15,No
 36 months,RENT,D,home_improvement,17.97%,NC,Current,Individual,3000,4 years,99435.83,12.16,1,99.80%,4493,14,0,null, 36 ,4,99,43.76206961077844,12.16,No
 36 months,RENT,C,credit_card,15.02%,CA,Current,Individual,15000,8 years,70000,26.08,0,76.70%,27396,33,0,null, 36 ,8,76,43.76206961077844,26.08,No
 60 months,MORTGAGE,C,debt_consolidation,13.56%,TX,Current,Individual,40000,3 years,155000,12.68,0,26.40%,15523,50,0,null, 60 ,3,26,43.76206961077844,12.68,No
 36 months,OWN,B,credit_card,11.80%,NV,Current,Individual,7500,3 years,62000,2.94,0,14.80%,2068,13,0,null, 36 ,3,14,43.76206961077844,2.94,No
 36 months,RENT,D,debt_consolidation,17.97%,NY,Current,Individual,2000,2 years,24000,3.8,0,70%,1610,5,0,null, 36 ,2,70,43.76206961077844,3.8,No
 36 months,RENT,C,moving,16.14%,CA,Current,Individual,6000,4 years,100500,14.24,0,48.60%,12529,9,0,null, 36 ,4,48,43.76206961077844,14.24,No
 60 months,RENT,D,debt_consolidation,22.35%,NY,Current,Individual,10000,n/a,43056,39.11,1,34.60%,2385,10,1,null, 60 ,,34,43.76206961077844,39.11,No
 36 months,OWN,C,debt_consolidation,15.02%,SD,Current,Individual,9000,7 years,30000,14.96,0,87.50%,4552,7,0,null, 36 ,7,87,43.76206961077844,14.96,No
 60 months,OWN,B,credit_card,11.80%,PA,Current,Joint App,30000,2 years,204000,9.44,0,76.10%,60720,23,0,7.25, 60 ,2,76,43.76206961077844,9.44,No
 36 months,MORTGAGE,A,credit_card,6.11%,TN,Current,Joint App,10825,10+ years,32668,16.94,0,45.70%,10833,12,0,8.81, 36 ,10,45,43.76206961077844,16.94,No
 36 months,RENT,D,credit_card,18.94%,PA,Current,Individual,5000,5 years,55000,27.97,0,87.80%,20976,7,0,null, 36 ,5,87,43.76206961077844,27.97,No
 36 months,RENT,C,credit_card,15.02%,PA,Current,Individual,8000,1 year,39780,9.8,0,26%,3586,12,0,null, 36 ,1,26,43.76206961077844,9.8,No
 36 months,RENT,A,debt_consolidation,8.81%,NY,Current,Individual,18000,3 years,120000,20.43,0,21.10%,30665,36,0,null, 36 ,3,21,43.76206961077844,20.43,No
 36 months,RENT,B,medical,10.33%,TN,Current,Joint App,16000,< 1 year,30000,43.36,0,69.30%,36252,19,0,13.14, 36 ,1,69,43.76206961077844,43.36,No
 60 months,OWN,D,debt_consolidation,22.35%,VA,Current,Individual,10000,10+ years,82000,32.26,0,32%,23886,34,0,null, 60 ,10,32,43.76206961077844,32.26,No
 36 months,RENT,A,debt_consolidation,8.81%,NY,Current,Individual,2500,1 year,35000,4.46,0,15%,3142,14,0,null, 36 ,1,15,43.76206961077844,4.46,No
 36 months,RENT,A,credit_card,6.46%,CA,Current,Individual,38500,4 years,84000,25.87,0,61.60%,46462,33,0,null, 36 ,4,61,43.76206961077844,25.87,No
 36 months,OWN,B,debt_consolidation,10.33%,MI,Current,Individual,7000,10+ years,110000,1.33,0,38.60%,5399,6,0,null, 36 ,10,38,43.76206961077844,1.33,No
 36 months,MORTGAGE,A,debt_consolidation,8.19%,FL,Current,Individual,8500,4 years,100000,12.32,0,40.70%,18235,12,0,null, 36 ,4,40,43.76206961077844,12.32,No
 36 months,RENT,A,credit_card,8.19%,SC,Current,Individual,5875,7 years,48360,26.1,0,25.40%,9472,17,0,null, 36 ,7,25,43.76206961077844,26.1,No
 36 months,MORTGAGE,A,car,6.46%,NY,Fully Paid,Individual,35000,10+ years,112000,5.12,0,21.90%,11231,27,0,null, 36 ,10,21,43.76206961077844,5.12,No
 60 months,MORTGAGE,C,debt_consolidation,14.47%,NJ,Current,Joint App,24000,10+ years,42000,78.97,0,87.90%,47752,36,0,36.54, 60 ,10,87,43.76206961077844,78.97,No
 60 months,MORTGAGE,C,home_improvement,15.02%,MI,Current,Individual,40000,3 years,127000,18.96,0,30%,11191,28,0,null, 60 ,3,30,43.76206961077844,18.96,No
 60 months,MORTGAGE,C,credit_card,16.14%,TX,Current,Individual,24000,1 year,50000,20.12,0,88.50%,22043,49,0,null, 60 ,1,88,43.76206961077844,20.12,No
